Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date,Captain
India,won,3 wickets,62,won,2nd,Sri Lanka,Dambulla,8/20/2008,
Sri Lanka,lost,3 wickets,62,lost,1st,India,Dambulla,8/20/2008,
India,lost,3 wickets,74,lost,1st,New Zealand,Auckland,12/26/2002,Stephen Fleming (NZ)
New Zealand,won,3 wickets,74,won,2nd,India,Auckland,12/26/2002,Stephen Fleming (NZ)
England,won,3 wickets,114,won,2nd,Pakistan,Birmingham,9/10/2006,
Pakistan,lost,3 wickets,114,lost,1st,England,Birmingham,9/10/2006,
Australia,lost,3 wickets,134,won,1st,South Africa,Perth,11/16/2014,
South Africa,won,3 wickets,134,lost,2nd,Australia,Perth,11/16/2014,
Australia,lost,30 runs,0,won,2nd,New Zealand,Auckland,2/14/1998,Stephen Fleming (NZ)
Australia,won,30 runs,0,lost,1st,West Indies,Gros Islet,3/25/2012,
New Zealand,won,30 runs,0,lost,1st,Australia,Auckland,2/14/1998,Stephen Fleming (NZ)
Pakistan,lost,30 runs,0,lost,2nd,West Indies,Dhaka,10/29/1998,
Pakistan,won,30 runs,0,lost,1st,West Indies,Perth,2/1/2005,
Pakistan,won,30 runs,0,won,1st,Sri Lanka,Gwalior,5/12/1997,
South Africa,lost,30 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),7/14/2000,
Sri Lanka,lost,30 runs,0,lost,2nd,Pakistan,Gwalior,5/12/1997,
Sri Lanka,won,30 runs,0,won,1st,South Africa,Colombo (RPS),7/14/2000,
West Indies,lost,30 runs,0,won,2nd,Australia,Gros Islet,3/25/2012,
West Indies,lost,30 runs,0,won,2nd,Pakistan,Perth,2/1/2005,
West Indies,won,30 runs,0,won,1st,Pakistan,Dhaka,10/29/1998,
Australia,won,31 runs,0,won,1st,Pakistan,Sydney,2/6/2005,
England,lost,31 runs,0,lost,2nd,Sri Lanka,Sydney,1/13/2003,
India,lost,31 runs,0,won,2nd,Pakistan,Jaipur,11/18/2007,
Pakistan,lost,31 runs,0,lost,2nd,Australia,Sydney,2/6/2005,
Pakistan,won,31 runs,0,lost,1st,India,Jaipur,11/18/2007,
Pakistan,won,31 runs,0,won,1st,West Indies,Abu Dhabi,11/16/2008,
Sri Lanka,won,31 runs,0,won,1st,England,Sydney,1/13/2003,
West Indies,lost,31 runs,0,lost,2nd,Pakistan,Abu Dhabi,11/16/2008,
Australia,won,32 runs,0,lost,1st,New Zealand,Sydney,2/8/2009,Daniel Vettori (NZ)
Australia,won,32 runs,0,lost,1st,South Africa,Perth,11/14/2014,
Australia,won,32 runs,0,lost,1st,Sri Lanka,Hobart,1/23/2013,
England,lost,32 runs,0,won,2nd,South Africa,Manchester,5/23/1998,
India,lost,32 runs,0,won,2nd,Pakistan,Hobart,1/21/2000,
New Zealand,lost,32 runs,0,won,2nd,Australia,Sydney,2/8/2009,Daniel Vettori (NZ)
Pakistan,won,32 runs,0,lost,1st,India,Hobart,1/21/2000,
South Africa,lost,32 runs,0,won,2nd,Australia,Perth,11/14/2014,
South Africa,won,32 runs,0,lost,1st,England,Manchester,5/23/1998,
Sri Lanka,lost,32 runs,0,won,2nd,Australia,Hobart,1/23/2013,
Australia,won,33 runs,0,lost,1st,South Africa,Perth,2/3/2002,
England,lost,33 runs,0,lost,2nd,Sri Lanka,Manchester,6/28/2006,
England,won,33 runs,0,won,1st,New Zealand,Auckland,2/23/2002,Stephen Fleming (NZ)
India,lost,33 runs,0,won,2nd,South Africa,Centurion,1/23/2011,
India,won,33 runs,0,won,1st,Sri Lanka,Colombo (RPS),8/24/2008,
New Zealand,lost,33 runs,0,lost,2nd,England,Auckland,2/23/2002,Stephen Fleming (NZ)
South Africa,lost,33 runs,0,won,2nd,Australia,Perth,2/3/2002,
South Africa,won,33 runs,0,lost,1st,India,Centurion,1/23/2011,
Sri Lanka,lost,33 runs,0,lost,2nd,India,Colombo (RPS),8/24/2008,
Sri Lanka,lost,33 runs,0,lost,2nd,West Indies,Colombo (RPS),8/6/2005,
Sri Lanka,won,33 runs,0,won,1st,England,Manchester,6/28/2006,
West Indies,won,33 runs,0,won,1st,Sri Lanka,Colombo (RPS),8/6/2005,
Australia,lost,34 runs,0,lost,2nd,England,Sydney,2/11/2007,
Australia,won,34 runs,0,lost,1st,New Zealand,Mohali,11/1/2006,Stephen Fleming (NZ)
England,lost,34 runs,0,lost,1st,New Zealand,Christchurch,2/23/2008,Daniel Vettori (NZ)
England,won,34 runs,0,lost,1st,New Zealand,Nottingham,6/5/2013,Brendon McCullum (NZ)
England,won,34 runs,0,won,1st,Australia,Sydney,2/11/2007,
India,won,34 runs,0,lost,1st,Pakistan,Toronto,9/18/1997,
India,won,34 runs,0,won,1st,West Indies,Chennai,12/11/2011,
New Zealand,lost,34 runs,0,lost,2nd,Sri Lanka,Wellington,1/29/2015,
New Zealand,lost,34 runs,0,won,2nd,Australia,Mohali,11/1/2006,Stephen Fleming (NZ)
New Zealand,lost,34 runs,0,won,2nd,England,Nottingham,6/5/2013,Brendon McCullum (NZ)
New Zealand,won,34 runs,0,won,2nd,England,Christchurch,2/23/2008,Daniel Vettori (NZ)
Pakistan,lost,34 runs,0,lost,2nd,South Africa,Cape Town,12/18/2002,
Pakistan,lost,34 runs,0,won,2nd,India,Toronto,9/18/1997,
Pakistan,lost,34 runs,0,won,2nd,South Africa,Johannesburg,3/17/2013,
Pakistan,lost,34 runs,0,won,2nd,Sri Lanka,Gujranwala,2/16/2000,
Pakistan,lost,34 runs,0,won,2nd,Sri Lanka,Singapore,4/2/1996,
South Africa,won,34 runs,0,lost,1st,Pakistan,Johannesburg,3/17/2013,
South Africa,won,34 runs,0,won,1st,Pakistan,Cape Town,12/18/2002,
Sri Lanka,won,34 runs,0,lost,1st,Pakistan,Gujranwala,2/16/2000,
Sri Lanka,won,34 runs,0,lost,1st,Pakistan,Singapore,4/2/1996,
Sri Lanka,won,34 runs,0,won,1st,New Zealand,Wellington,1/29/2015,
Sri Lanka,won,34 runs,0,won,1st,West Indies,Colombo (RPS),12/19/2001,
West Indies,lost,34 runs,0,lost,2nd,India,Chennai,12/11/2011,
West Indies,lost,34 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),12/19/2001,
India,lost,35 runs,0,lost,2nd,Pakistan,Chennai,5/21/1997,
India,lost,35 runs,0,won,2nd,New Zealand,Napier,12/29/2002,Stephen Fleming (NZ)
India,won,35 runs,0,won,1st,South Africa,Chennai,10/22/2015,
India,won,35 runs,0,won,1st,South Africa,Mumbai,11/6/1996,
New Zealand,won,35 runs,0,lost,1st,India,Napier,12/29/2002,Stephen Fleming (NZ)
Pakistan,won,35 runs,0,won,1st,India,Chennai,5/21/1997,
South Africa,lost,35 runs,0,lost,2nd,India,Chennai,10/22/2015,
South Africa,lost,35 runs,0,lost,2nd,India,Mumbai,11/6/1996,
Sri Lanka,lost,35 runs,0,won,2nd,West Indies,Port of Spain,6/6/1997,
Sri Lanka,won,35 runs,0,won,1st,West Indies,Port of Spain,4/13/1996,
West Indies,lost,35 runs,0,lost,2nd,Sri Lanka,Port of Spain,4/13/1996,
West Indies,won,35 runs,0,lost,1st,Sri Lanka,Port of Spain,6/6/1997,
Australia,lost,36 runs,0,lost,2nd,Pakistan,Nottingham,6/19/2001,
England,won,36 runs,0,lost,1st,Sri Lanka,Lord's,8/16/1998,
New Zealand,lost,36 runs,0,won,2nd,Sri Lanka,Dambulla,11/16/2013,
Pakistan,lost,36 runs,0,won,2nd,Sri Lanka,Dambulla,7/30/2009,
Pakistan,won,36 runs,0,won,1st,Australia,Nottingham,6/19/2001,
Sri Lanka,lost,36 runs,0,won,2nd,England,Lord's,8/16/1998,
Sri Lanka,won,36 runs,0,lost,1st,New Zealand,Dambulla,11/16/2013,
Sri Lanka,won,36 runs,0,lost,1st,Pakistan,Dambulla,7/30/2009,
Australia,lost,37 runs,0,lost,2nd,India,Gwalior,10/26/2003,
Australia,won,37 runs,0,won,1st,India,Kolkata,11/18/2003,
Australia,won,37 runs,0,won,1st,South Africa,Bloemfontein,3/30/2002,
India,lost,37 runs,0,lost,2nd,Australia,Kolkata,11/18/2003,
India,won,37 runs,0,won,1st,Australia,Gwalior,10/26/2003,
Pakistan,lost,37 runs,0,won,2nd,West Indies,Providence,7/16/2013,
South Africa,lost,37 runs,0,lost,2nd,Australia,Bloemfontein,3/30/2002,
South Africa,lost,37 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),8/22/2004,
South Africa,lost,37 runs,0,won,2nd,Sri Lanka,Galle,7/6/2000,
Sri Lanka,won,37 runs,0,lost,1st,South Africa,Galle,7/6/2000,
Sri Lanka,won,37 runs,0,won,1st,South Africa,Colombo (RPS),8/22/2004,
West Indies,won,37 runs,0,lost,1st,Pakistan,Providence,7/16/2013,
England,lost,38 runs,0,lost,2nd,Pakistan,Lord's,9/20/2010,
England,lost,38 runs,0,won,2nd,India,Leeds,9/2/2007,
England,lost,38 runs,0,won,2nd,South Africa,Johannesburg,2/13/2000,
India,lost,38 runs,0,lost,2nd,South Africa,Sharjah,4/19/1996,
India,lost,38 runs,0,won,2nd,Pakistan,Sharjah,4/12/1996,
India,won,38 runs,0,lost,1st,England,Leeds,9/2/2007,
New Zealand,won,38 runs,0,lost,1st,Sri Lanka,Johannesburg,9/27/2009,Daniel Vettori (NZ)
Pakistan,won,38 runs,0,lost,1st,India,Sharjah,4/12/1996,
Pakistan,won,38 runs,0,won,1st,England,Lord's,9/20/2010,
South Africa,won,38 runs,0,lost,1st,England,Johannesburg,2/13/2000,
South Africa,won,38 runs,0,won,1st,India,Sharjah,4/19/1996,
Sri Lanka,lost,38 runs,0,won,2nd,New Zealand,Johannesburg,9/27/2009,Daniel Vettori (NZ)
Australia,lost,39 runs,0,lost,2nd,South Africa,Perth,1/30/2009,
Australia,lost,39 runs,0,lost,2nd,West Indies,Port of Spain,5/25/2003,
Australia,won,39 runs,0,lost,1st,England,Lord's,9/6/2009,
Australia,won,39 runs,0,lost,1st,West Indies,Melbourne,2/9/2001,
Australia,won,39 runs,0,won,1st,West Indies,Canberra,2/6/2013,
England,lost,39 runs,0,won,2nd,Australia,Lord's,9/6/2009,
England,lost,39 runs,0,won,2nd,India,Delhi,3/28/2006,
India,lost,39 runs,0,lost,2nd,South Africa,Bloemfontein,1/23/1997,
India,won,39 runs,0,lost,1st,England,Delhi,3/28/2006,
India,won,39 runs,0,won,1st,Pakistan,Bangalore,3/9/1996,
Pakistan,lost,39 runs,0,lost,2nd,India,Bangalore,3/9/1996,
Pakistan,lost,39 runs,0,lost,2nd,Sri Lanka,Tangier,8/17/2002,
Pakistan,won,39 runs,0,won,1st,Sri Lanka,Dhaka,6/7/2000,
South Africa,won,39 runs,0,won,1st,Australia,Perth,1/30/2009,
South Africa,won,39 runs,0,won,1st,India,Bloemfontein,1/23/1997,
Sri Lanka,lost,39 runs,0,lost,2nd,Pakistan,Dhaka,6/7/2000,
Sri Lanka,won,39 runs,0,lost,1st,West Indies,Port of Spain,7/7/2013,
Sri Lanka,won,39 runs,0,won,1st,Pakistan,Tangier,8/17/2002,
West Indies,lost,39 runs,0,lost,2nd,Australia,Canberra,2/6/2013,
West Indies,lost,39 runs,0,won,2nd,Australia,Melbourne,2/9/2001,
West Indies,lost,39 runs,0,won,2nd,Sri Lanka,Port of Spain,7/7/2013,
West Indies,won,39 runs,0,won,1st,Australia,Port of Spain,5/25/2003,
Australia,won,4 runs,0,lost,1st,England,The Oval,9/4/2009,
Australia,won,4 runs,0,won,1st,India,Vadodara,10/25/2009,
England,lost,4 runs,0,won,2nd,Australia,The Oval,9/4/2009,
India,lost,4 runs,0,lost,2nd,Australia,Vadodara,10/25/2009,
India,won,4 runs,0,won,1st,Sri Lanka,Colombo (RPS),7/27/2004,
New Zealand,won,4 runs,0,lost,1st,West Indies,Georgetown,4/3/1996,Lee Germon (NZ)
New Zealand,won,4 runs,0,won,1st,Pakistan,Wellington,1/17/2004,Stephen Fleming (NZ)
Pakistan,lost,4 runs,0,lost,2nd,New Zealand,Wellington,1/17/2004,Stephen Fleming (NZ)
South Africa,lost,4 runs,0,won,2nd,Sri Lanka,Johannesburg,1/17/2001,
South Africa,won,4 runs,0,lost,2nd,Sri Lanka,Bloemfontein,1/17/2012,
Sri Lanka,lost,4 runs,0,lost,2nd,India,Colombo (RPS),7/27/2004,
Sri Lanka,lost,4 runs,0,won,1st,South Africa,Bloemfontein,1/17/2012,
Sri Lanka,won,4 runs,0,lost,1st,South Africa,Johannesburg,1/17/2001,
West Indies,lost,4 runs,0,won,2nd,New Zealand,Georgetown,4/3/1996,Lee Germon (NZ)
India,lost,4 wickets,0,won,1st,West Indies,Jamshedpur,11/6/2002,
New Zealand,lost,4 wickets,0,won,1st,West Indies,Kingstown,6/16/2002,Stephen Fleming (NZ)
New Zealand,won,4 wickets,0,lost,2nd,Sri Lanka,Hambantota,11/12/2013,
Sri Lanka,lost,4 wickets,0,won,1st,New Zealand,Hambantota,11/12/2013,
West Indies,won,4 wickets,0,lost,2nd,India,Jamshedpur,11/6/2002,
West Indies,won,4 wickets,0,lost,2nd,New Zealand,Kingstown,6/16/2002,Stephen Fleming (NZ)
India,lost,4 wickets,1,won,1st,Pakistan,Mohali,11/8/2007,
India,lost,4 wickets,1,won,1st,West Indies,Basseterre,5/23/2006,
India,won,4 wickets,1,lost,2nd,South Africa,Vadodara,3/17/2000,
New Zealand,won,4 wickets,1,lost,2nd,South Africa,Auckland,3/24/2015,Brendon McCullum (NZ)
New Zealand,won,4 wickets,1,won,2nd,West Indies,Port of Spain,3/29/1996,Lee Germon (NZ)
Pakistan,won,4 wickets,1,lost,2nd,India,Mohali,11/8/2007,
Pakistan,won,4 wickets,1,lost,2nd,West Indies,Abu Dhabi,11/12/2008,
Pakistan,won,4 wickets,1,won,2nd,Sri Lanka,Hambantota,8/23/2014,
Pakistan,won,4 wickets,1,won,2nd,West Indies,Gros Islet,7/24/2013,
South Africa,lost,4 wickets,1,won,1st,India,Vadodara,3/17/2000,
South Africa,lost,4 wickets,1,won,1st,New Zealand,Auckland,3/24/2015,Brendon McCullum (NZ)
Sri Lanka,lost,4 wickets,1,lost,1st,Pakistan,Hambantota,8/23/2014,
West Indies,lost,4 wickets,1,lost,1st,New Zealand,Port of Spain,3/29/1996,Lee Germon (NZ)
West Indies,lost,4 wickets,1,lost,1st,Pakistan,Gros Islet,7/24/2013,
West Indies,lost,4 wickets,1,won,1st,Pakistan,Abu Dhabi,11/12/2008,
West Indies,won,4 wickets,1,lost,2nd,India,Basseterre,5/23/2006,
Australia,lost,4 wickets,2,lost,1st,New Zealand,Melbourne (Docklands),12/5/2004,Stephen Fleming (NZ)
Australia,lost,4 wickets,2,won,1st,India,Adelaide,2/12/2012,
India,lost,4 wickets,2,lost,1st,New Zealand,Nairobi (Gym),10/15/2000,Stephen Fleming (NZ)
India,won,4 wickets,2,lost,2nd,Australia,Adelaide,2/12/2012,
New Zealand,won,4 wickets,2,won,2nd,Australia,Melbourne (Docklands),12/5/2004,Stephen Fleming (NZ)
New Zealand,won,4 wickets,2,won,2nd,India,Nairobi (Gym),10/15/2000,Stephen Fleming (NZ)
South Africa,won,4 wickets,2,lost,2nd,West Indies,Johannesburg,2/4/2004,
West Indies,lost,4 wickets,2,won,1st,South Africa,Johannesburg,2/4/2004,
Australia,lost,4 wickets,3,won,1st,England,Melbourne,2/9/2007,
Australia,won,4 wickets,3,lost,2nd,India,Perth,1/30/2000,
Australia,won,4 wickets,3,won,2nd,India,Mohali,10/19/2013,
England,won,4 wickets,3,lost,2nd,Australia,Melbourne,2/9/2007,
England,won,4 wickets,3,lost,2nd,Pakistan,Leeds,9/12/2010,
England,won,4 wickets,3,lost,2nd,Sri Lanka,Brisbane,1/11/1999,
India,lost,4 wickets,3,lost,1st,Australia,Mohali,10/19/2013,
India,lost,4 wickets,3,lost,1st,South Africa,Belfast,6/26/2007,
India,lost,4 wickets,3,won,1st,Australia,Perth,1/30/2000,
India,won,4 wickets,3,lost,2nd,Pakistan,Karachi,9/30/1997,
Pakistan,lost,4 wickets,3,won,1st,England,Leeds,9/12/2010,
Pakistan,lost,4 wickets,3,won,1st,India,Karachi,9/30/1997,
South Africa,won,4 wickets,3,won,2nd,India,Belfast,6/26/2007,
Sri Lanka,lost,4 wickets,3,won,1st,England,Brisbane,1/11/1999,
Sri Lanka,won,4 wickets,3,lost,2nd,West Indies,Bridgetown,6/8/2003,
West Indies,lost,4 wickets,3,won,1st,Sri Lanka,Bridgetown,6/8/2003,
Australia,lost,4 wickets,4,won,1st,West Indies,Perth,1/12/1997,
England,won,4 wickets,4,lost,2nd,Pakistan,Dubai (DSC),2/21/2012,
New Zealand,lost,4 wickets,4,lost,1st,South Africa,Port Elizabeth,10/30/2005,Stephen Fleming (NZ)
Pakistan,lost,4 wickets,4,won,1st,England,Dubai (DSC),2/21/2012,
Pakistan,lost,4 wickets,4,won,1st,Sri Lanka,Sharjah,4/11/1997,
South Africa,won,4 wickets,4,won,2nd,New Zealand,Port Elizabeth,10/30/2005,Stephen Fleming (NZ)
Sri Lanka,won,4 wickets,4,lost,2nd,Pakistan,Sharjah,4/11/1997,
West Indies,won,4 wickets,4,lost,2nd,Australia,Perth,1/12/1997,
Australia,lost,4 wickets,5,won,1st,New Zealand,Melbourne,1/21/1998,Stephen Fleming (NZ)
New Zealand,won,4 wickets,5,lost,2nd,Australia,Melbourne,1/21/1998,Stephen Fleming (NZ)
New Zealand,won,4 wickets,5,lost,2nd,South Africa,Brisbane,1/19/2002,Stephen Fleming (NZ)
New Zealand,won,4 wickets,5,won,2nd,Pakistan,Auckland,1/3/2004,
New Zealand,won,4 wickets,5,won,2nd,Pakistan,Auckland,1/3/2004,Stephen Fleming (NZ)
Pakistan,lost,4 wickets,5,lost,1st,New Zealand,Auckland,1/3/2004,Stephen Fleming (NZ)
South Africa,lost,4 wickets,5,won,1st,New Zealand,Brisbane,1/19/2002,
South Africa,lost,4 wickets,5,won,1st,New Zealand,Brisbane,1/19/2002,Stephen Fleming (NZ)
Australia,won,4 wickets,6,lost,2nd,India,Melbourne,1/18/2015,
England,lost,4 wickets,6,won,1st,India,Faridabad,3/31/2006,
India,lost,4 wickets,6,won,1st,Australia,Melbourne,1/18/2015,
India,lost,4 wickets,6,won,1st,New Zealand,Sharjah,4/20/1998,Stephen Fleming (NZ)
India,won,4 wickets,6,lost,2nd,England,Faridabad,3/31/2006,
New Zealand,won,4 wickets,6,lost,2nd,India,Sharjah,4/20/1998,Stephen Fleming (NZ)
New Zealand,won,4 wickets,6,lost,2nd,Pakistan,Nairobi (Gym),10/11/2000,Stephen Fleming (NZ)
Pakistan,lost,4 wickets,6,won,1st,New Zealand,Nairobi (Gym),10/11/2000,Stephen Fleming (NZ)
Australia,lost,4 wickets,7,won,1st,West Indies,Jaipur,3/4/1996,
Australia,won,4 wickets,7,lost,2nd,Sri Lanka,Brisbane,1/15/2003,
England,won,4 wickets,7,lost,2nd,India,Manchester,5/26/1996,
England,won,4 wickets,7,lost,2nd,New Zealand,Christchurch,2/20/1997,Lee Germon (NZ)
India,lost,4 wickets,7,won,1st,England,Manchester,5/26/1996,
New Zealand,lost,4 wickets,7,won,1st,England,Christchurch,2/20/1997,Lee Germon (NZ)
Sri Lanka,lost,4 wickets,7,won,1st,Australia,Brisbane,1/15/2003,
West Indies,won,4 wickets,7,lost,2nd,Australia,Jaipur,3/4/1996,
Australia,won,4 wickets,8,lost,2nd,India,Delhi,4/14/1998,
India,lost,4 wickets,8,won,1st,Australia,Delhi,4/14/1998,
Australia,lost,4 wickets,9,won,1st,South Africa,Melbourne,1/13/2002,
Australia,won,4 wickets,9,lost,2nd,West Indies,Bridgetown,4/24/1999,
England,won,4 wickets,9,won,2nd,Pakistan,Lord's,6/22/2003,
India,lost,4 wickets,9,lost,1st,Sri Lanka,Dhaka,1/13/2010,
New Zealand,lost,4 wickets,9,lost,1st,Pakistan,Sharjah,11/13/1996,Lee Germon (NZ)
Pakistan,lost,4 wickets,9,lost,1st,England,Lord's,6/22/2003,
Pakistan,won,4 wickets,9,won,2nd,New Zealand,Sharjah,11/13/1996,Lee Germon (NZ)
South Africa,won,4 wickets,9,lost,2nd,Australia,Melbourne,1/13/2002,
Sri Lanka,won,4 wickets,9,won,2nd,India,Dhaka,1/13/2010,
West Indies,lost,4 wickets,9,won,1st,Australia,Bridgetown,4/24/1999,
Australia,won,4 wickets,10,lost,2nd,England,Nottingham,9/15/2009,
Australia,won,4 wickets,10,lost,2nd,Pakistan,Sharjah,8/28/2012,
England,lost,4 wickets,10,won,1st,Australia,Nottingham,9/15/2009,
Pakistan,lost,4 wickets,10,won,1st,Australia,Sharjah,8/28/2012,
India,won,4 wickets,11,won,2nd,Sri Lanka,Birmingham,7/6/2002,
New Zealand,won,4 wickets,11,lost,2nd,Pakistan,Dunedin,2/28/2001,Stephen Fleming (NZ)
New Zealand,won,4 wickets,11,lost,2nd,Sri Lanka,Nelson,1/20/2015,Brendon McCullum (NZ)
Pakistan,lost,4 wickets,11,won,1st,New Zealand,Dunedin,2/28/2001,Stephen Fleming (NZ)
Pakistan,won,4 wickets,11,lost,2nd,Sri Lanka,Jaipur,10/17/2006,
Sri Lanka,lost,4 wickets,11,lost,1st,India,Birmingham,7/6/2002,
Sri Lanka,lost,4 wickets,11,won,1st,New Zealand,Nelson,1/20/2015,Brendon McCullum (NZ)
Sri Lanka,lost,4 wickets,11,won,1st,Pakistan,Jaipur,10/17/2006,
Australia,won,4 wickets,12,lost,2nd,India,Margao,4/6/2001,
Australia,won,4 wickets,12,lost,2nd,Pakistan,Hobart,1/16/2005,
England,won,4 wickets,12,lost,2nd,South Africa,The Oval,8/31/2012,
India,lost,4 wickets,12,won,1st,Australia,Margao,4/6/2001,
India,lost,4 wickets,12,won,1st,Sri Lanka,Dambulla,8/3/2005,
Pakistan,lost,4 wickets,12,won,1st,Australia,Hobart,1/16/2005,
Pakistan,won,4 wickets,12,lost,2nd,Sri Lanka,Kimberley,4/7/1998,
South Africa,lost,4 wickets,12,won,1st,England,The Oval,8/31/2012,
Sri Lanka,lost,4 wickets,12,won,1st,Pakistan,Kimberley,4/7/1998,
Sri Lanka,won,4 wickets,12,lost,2nd,India,Dambulla,8/3/2005,
Australia,lost,4 wickets,13,lost,1st,South Africa,Johannesburg,4/16/2000,
South Africa,won,4 wickets,13,won,2nd,Australia,Johannesburg,4/16/2000,
India,lost,4 wickets,14,lost,1st,West Indies,Singapore,9/8/1999,
South Africa,lost,4 wickets,14,won,1st,Sri Lanka,Dambulla,8/25/2004,
Sri Lanka,won,4 wickets,14,lost,2nd,South Africa,Dambulla,8/25/2004,
West Indies,won,4 wickets,14,won,2nd,India,Singapore,9/8/1999,
Australia,won,4 wickets,15,lost,2nd,England,Adelaide,1/19/2003,
England,lost,4 wickets,15,won,1st,Australia,Adelaide,1/19/2003,
India,lost,4 wickets,15,won,1st,New Zealand,Cuttack,11/6/2003,Stephen Fleming (NZ)
New Zealand,won,4 wickets,15,lost,2nd,India,Cuttack,11/6/2003,Stephen Fleming (NZ)
England,lost,4 wickets,16,won,1st,India,Kochi,4/6/2006,
India,lost,4 wickets,16,lost,1st,Pakistan,Peshawar,3/19/2004,
India,lost,4 wickets,16,won,1st,Pakistan,Sharjah,12/14/1997,
India,lost,4 wickets,16,won,1st,South Africa,Hove,5/15/1999,
India,won,4 wickets,16,lost,2nd,England,Kochi,4/6/2006,
Pakistan,won,4 wickets,16,lost,2nd,India,Sharjah,12/14/1997,
Pakistan,won,4 wickets,16,won,2nd,India,Peshawar,3/19/2004,
South Africa,won,4 wickets,16,lost,2nd,India,Hove,5/15/1999,
South Africa,won,4 wickets,16,lost,2nd,Sri Lanka,Port Elizabeth,12/15/2000,
Sri Lanka,lost,4 wickets,16,won,1st,South Africa,Port Elizabeth,12/15/2000,
England,lost,4 wickets,17,lost,1st,West Indies,Gros Islet,5/2/2004,
West Indies,won,4 wickets,17,won,2nd,England,Gros Islet,5/2/2004,
Australia,lost,4 wickets,18,lost,1st,Sri Lanka,Colombo (RPS),8/22/2011,
Australia,won,4 wickets,18,lost,2nd,England,Sydney,2/5/1999,
England,lost,4 wickets,18,won,1st,Australia,Sydney,2/5/1999,
South Africa,won,4 wickets,18,won,2nd,West Indies,Dhaka,11/1/1998,
Sri Lanka,won,4 wickets,18,won,2nd,Australia,Colombo (RPS),8/22/2011,
West Indies,lost,4 wickets,18,lost,1st,South Africa,Dhaka,11/1/1998,
England,lost,4 wickets,20,won,1st,India,Chennai,1/25/2002,
India,won,4 wickets,20,lost,2nd,England,Chennai,1/25/2002,
India,won,4 wickets,20,lost,2nd,Sri Lanka,Perth,2/8/2012,
Sri Lanka,lost,4 wickets,20,won,1st,India,Perth,2/8/2012,
England,lost,4 wickets,21,won,1st,New Zealand,Christchurch,2/13/2002,Stephen Fleming (NZ)
New Zealand,lost,4 wickets,21,won,1st,Pakistan,Sharjah,11/10/1996,Lee Germon (NZ)
New Zealand,won,4 wickets,21,lost,2nd,England,Christchurch,2/13/2002,Stephen Fleming (NZ)
Pakistan,won,4 wickets,21,lost,2nd,New Zealand,Sharjah,11/10/1996,Lee Germon (NZ)
Pakistan,won,4 wickets,23,lost,2nd,West Indies,Sharjah,2/14/2002,
West Indies,lost,4 wickets,23,won,1st,Pakistan,Sharjah,2/14/2002,
Australia,lost,4 wickets,24,won,1st,England,Southampton,6/22/2010,
Australia,won,4 wickets,24,lost,2nd,England,Sydney,1/23/2011,
England,lost,4 wickets,24,won,1st,Australia,Sydney,1/23/2011,
England,won,4 wickets,24,lost,2nd,Australia,Southampton,6/22/2010,
New Zealand,won,4 wickets,24,lost,2nd,Pakistan,Sharjah,12/12/2014,
Pakistan,lost,4 wickets,24,won,1st,New Zealand,Sharjah,12/12/2014,
Australia,lost,4 wickets,25,won,1st,Sri Lanka,Colombo (RPS),8/30/1996,
England,won,4 wickets,25,lost,2nd,West Indies,Sharjah,12/13/1997,
Sri Lanka,won,4 wickets,25,lost,2nd,Australia,Colombo (RPS),8/30/1996,
West Indies,lost,4 wickets,25,won,1st,England,Sharjah,12/13/1997,
India,won,4 wickets,26,won,2nd,Sri Lanka,Pune,11/3/2005,
Sri Lanka,lost,4 wickets,26,lost,1st,India,Pune,11/3/2005,
Australia,lost,4 wickets,27,won,1st,Pakistan,Sydney,1/1/1997,
Pakistan,won,4 wickets,27,lost,2nd,Australia,Sydney,1/1/1997,
Australia,lost,4 wickets,28,won,1st,England,Cardiff,6/24/2010,
England,won,4 wickets,28,lost,2nd,Australia,Cardiff,6/24/2010,
India,won,4 wickets,28,lost,2nd,Sri Lanka,The Oval,6/30/2002,
New Zealand,won,4 wickets,28,lost,2nd,Pakistan,Dambulla,5/23/2003,Stephen Fleming (NZ)
Pakistan,lost,4 wickets,28,won,1st,New Zealand,Dambulla,5/23/2003,Stephen Fleming (NZ)
Pakistan,won,4 wickets,28,won,2nd,Sri Lanka,Colombo (SSC),3/22/2006,
Sri Lanka,lost,4 wickets,28,lost,1st,Pakistan,Colombo (SSC),3/22/2006,
Sri Lanka,lost,4 wickets,28,won,1st,India,The Oval,6/30/2002,
Pakistan,won,4 wickets,29,lost,2nd,West Indies,Port of Spain,4/23/2000,
West Indies,lost,4 wickets,29,won,1st,Pakistan,Port of Spain,4/23/2000,
India,won,4 wickets,31,lost,2nd,West Indies,Port of Spain,6/6/2011,
West Indies,lost,4 wickets,31,won,1st,India,Port of Spain,6/6/2011,
